    66   0.166560E+04   0.256019E+00  -0.372185E+01   0.564892E+07   0.102740E+05
    67   0.168722E+04   0.267339E+00  -0.409491E+01   0.562034E+07   0.101143E+05
    68   0.170904E+04   0.278912E+00  -0.447883E+01   0.559152E+07   0.995684E+04
    69   0.173110E+04   0.290736E+00  -0.487360E+01   0.556249E+07   0.980137E+04
    70   0.175343E+04   0.302811E+00  -0.527940E+01   0.553330E+07   0.964746E+04
    71   0.177606E+04   0.315137E+00  -0.569649E+01   0.550397E+07   0.949489E+04
    72   0.179903E+04   0.327709E+00  -0.612537E+01   0.547452E+07   0.934397E+04
    73   0.182234E+04   0.340521E+00  -0.656637E+01   0.544495E+07   0.919517E+04
    74   0.184590E+04   0.353557E+00  -0.701876E+01   0.541528E+07   0.904897E+04
    75   0.186962E+04   0.366806E+00  -0.748147E+01   0.538552E+07   0.890582E+04
    76   0.189337E+04   0.380249E+00  -0.795359E+01   0.535569E+07   0.876619E+04
    77   0.191709E+04   0.393873E+00  -0.843437E+01   0.532578E+07   0.863055E+04
    78   0.194084E+04   0.407665E+00  -0.892433E+01   0.529582E+07   0.849936E+04
    79   0.196476E+04   0.421608E+00  -0.942428E+01   0.526582E+07   0.837309E+04
    80   0.198895E+04   0.435690E+00  -0.993517E+01   0.523578E+07   0.825221E+04
    81   0.201350E+04   0.449895E+00  -0.104575E+02   0.520572E+07   0.813702E+04
    82   0.203842E+04   0.464210E+00  -0.109907E+02   0.517565E+07   0.802717E+04
    83   0.206367E+04   0.478618E+00  -0.115339E+02   0.514559E+07   0.792215E+04
    84   0.208921E+04   0.493105E+00  -0.120863E+02   0.511553E+07   0.782143E+04
    85   0.211502E+04   0.507655E+00  -0.126471E+02   0.508551E+07   0.772452E+04
    86   0.214108E+04   0.522254E+00  -0.132154E+02   0.505553E+07   0.763089E+04
    87   0.216733E+04   0.536885E+00  -0.137903E+02   0.502561E+07   0.754002E+04
    88   0.219377E+04   0.551533E+00  -0.143712E+02   0.499575E+07   0.745142E+04
    89   0.222039E+04   0.566182E+00  -0.149572E+02   0.496598E+07   0.736455E+04
    90   0.224719E+04   0.580811E+00  -0.155478E+02   0.493630E+07   0.727892E+04
    91   0.227418E+04   0.595405E+00  -0.161423E+02   0.490672E+07   0.719408E+04
    92   0.230136E+04   0.609952E+00  -0.167406E+02   0.487725E+07   0.710998E+04
    93   0.232875E+04   0.624440E+00  -0.173421E+02   0.484790E+07   0.702662E+04
    94   0.235633E+04   0.638861E+00  -0.179469E+02   0.481866E+07   0.694402E+04
    95   0.238412E+04   0.653203E+00  -0.185544E+02   0.478954E+07   0.686220E+04
    96   0.241212E+04   0.667455E+00  -0.191644E+02   0.476055E+07   0.678118E+04
    97   0.244033E+04   0.681607E+00  -0.197765E+02   0.473168E+07   0.670096E+04
    98   0.246875E+04   0.695646E+00  -0.203903E+02   0.470294E+07   0.662156E+04
